release_year,title,genres,nominated,budget_ranges,revenue_ranges,runtime_ranges,budget,revenue,runtime,winner
1999,The Hurricane,Drama,1,High,Medium,High,50000000,73956241,146,0
1937,Snow White and the Seven Dwarfs,Fantasy,1,Low,High,Low,1488423,184925486,83,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
1999,The Hurricane,Drama,1,High,Medium,High,50000000,73956241,146,1
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,1
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
2006,Marie Antoinette,Drama,1,Medium,Medium,High,40000000,60474340,123,0
2006,Marie Antoinette,Drama,1,Medium,Medium,High,40000000,60474340,123,0
1938,The Adventures of Robin Hood,Action,1,Low,Low,Medium,2033000,3981000,102,1
1938,Alexander's Ragtime Band,Drama,1,Low,Low,Medium,2000000,4000000,106,0
2006,Marie Antoinette,Drama,1,Medium,Medium,High,40000000,60474340,123,0
1938,The Adventures of Robin Hood,Action,1,Low,Low,Medium,2033000,3981000,102,1
1938,Alexander's Ragtime Band,Drama,1,Low,Low,Medium,2000000,4000000,106,0
1938,The Adventures of Robin Hood,Action,1,Low,Low,Medium,2033000,3981000,102,1
2006,Marie Antoinette,Drama,1,Medium,Medium,High,40000000,60474340,123,0
1938,Alexander's Ragtime Band,Drama,1,Low,Low,Medium,2000000,4000000,106,1
1987,Mannequin,Fantasy,1,Medium,Medium,Low,6000000,42721196,89,0
1938,Alexander's Ragtime Band,Drama,1,Low,Low,Medium,2000000,4000000,106,0
1938,The Adventures of Robin Hood,Action,1,Low,Low,Medium,2033000,3981000,102,0
1941,Suspicion,Mystery,1,Low,Low,Medium,1103000,4500000,99,0
1938,Alexander's Ragtime Band,Drama,1,Low,Low,Medium,2000000,4000000,106,0
1938,Alexander's Ragtime Band,Drama,1,Low,Low,Medium,2000000,4000000,106,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,0
2011,Wuthering Heights,Drama,1,Medium,Low,High,8000000,100915,129,0
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Stagecoach,Adventure,1,Low,Low,Medium,531374,1103757,96,1
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Ninotchka,Comedy,1,Low,Low,Medium,1365000,2279000,110,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,1
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,0
2011,Wuthering Heights,Drama,1,Medium,Low,High,8000000,100915,129,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,1
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,1
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Stagecoach,Adventure,1,Low,Low,Medium,531374,1103757,96,0
1939,The Wizard of Oz,Adventure,1,Low,Medium,Medium,2777000,33754967,102,0
2011,Wuthering Heights,Drama,1,Medium,Low,High,8000000,100915,129,0
1939,Stagecoach,Adventure,1,Low,Low,Medium,531374,1103757,96,0
2011,Wuthering Heights,Drama,1,Medium,Low,High,8000000,100915,129,1
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,1
1939,The Wizard of Oz,Adventure,1,Low,Medium,Medium,2777000,33754967,102,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,1
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Stagecoach,Adventure,1,Low,Low,Medium,531374,1103757,96,0
2011,Wuthering Heights,Drama,1,Medium,Low,High,8000000,100915,129,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,1
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Stagecoach,Adventure,1,Low,Low,Medium,531374,1103757,96,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,0
2010,Gulliver's Travels,Comedy,1,High,High,Low,112000000,237382724,85,0
1939,The Wizard of Oz,Adventure,1,Low,Medium,Medium,2777000,33754967,102,1
2011,Wuthering Heights,Drama,1,Medium,Low,High,8000000,100915,129,0
1996,The Hunchback of Notre Dame,Drama,1,High,High,Low,100000000,100138851,91,0
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Stagecoach,Adventure,1,Low,Low,Medium,531374,1103757,96,1
2010,Gulliver's Travels,Comedy,1,High,High,Low,112000000,237382724,85,0
1939,The Wizard of Oz,Adventure,1,Low,Medium,Medium,2777000,33754967,102,1
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,1
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Ninotchka,Comedy,1,Low,Low,Medium,1365000,2279000,110,0
1939,Stagecoach,Adventure,1,Low,Low,Medium,531374,1103757,96,0
1939,The Wizard of Oz,Adventure,1,Low,Medium,Medium,2777000,33754967,102,0
2011,Wuthering Heights,Drama,1,Medium,Low,High,8000000,100915,129,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,0
1996,The Hunchback of Notre Dame,Drama,1,High,High,Low,100000000,100138851,91,0
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,0
1939,The Wizard of Oz,Adventure,1,Low,Medium,Medium,2777000,33754967,102,0
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,1
1939,Ninotchka,Comedy,1,Low,Low,Medium,1365000,2279000,110,0
1939,Gone with the Wind,Drama,1,Low,High,High,4000000,400176459,238,1
1939,Mr. Smith Goes to Washington,Comedy,1,Low,Medium,High,1500000,9600000,129,0
1939,Ninotchka,Comedy,1,Low,Low,Medium,1365000,2279000,110,0
2011,Wuthering Heights,Drama,1,Medium,Low,High,8000000,100915,129,0
1940,The Great Dictator,Comedy,1,Low,Medium,High,2000000,11000000,125,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1940,The Great Dictator,Comedy,1,Low,Medium,High,2000000,11000000,125,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1924,The Thief of Bagdad,Action,1,Low,Low,High,1135654,1213880,149,1
1940,Boom Town,Adventure,1,Low,Medium,Medium,2000000,9172000,119,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,1
1924,The Thief of Bagdad,Action,1,Low,Low,High,1135654,1213880,149,1
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1940,The Great Dictator,Comedy,1,Low,Medium,High,2000000,11000000,125,0
2002,Pinocchio,Comedy,1,Medium,Medium,Medium,40000000,41323171,108,1
1940,Pinocchio,Animation,1,Low,Medium,Low,2600000,84300000,88,1
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1924,The Thief of Bagdad,Action,1,Low,Low,High,1135654,1213880,149,0
2002,Pinocchio,Comedy,1,Medium,Medium,Medium,40000000,41323171,108,1
1940,Pinocchio,Animation,1,Low,Medium,Low,2600000,84300000,88,1
1940,The Great Dictator,Comedy,1,Low,Medium,High,2000000,11000000,125,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,1
1940,Boom Town,Adventure,1,Low,Medium,Medium,2000000,9172000,119,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1924,The Thief of Bagdad,Action,1,Low,Low,High,1135654,1213880,149,1
1940,The Great Dictator,Comedy,1,Low,Medium,High,2000000,11000000,125,0
1940,Rebecca,Drama,1,Low,Low,High,1288000,6000000,130,0
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,1
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,0
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,1
1941,The Maltese Falcon,Mystery,1,Low,Low,Medium,375000,1000000,100,0
1941,Suspicion,Mystery,1,Low,Low,Medium,1103000,4500000,99,1
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,0
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,1
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,1
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,1
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,0
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,1
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,0
1941,Dumbo,Animation,1,Low,Low,Low,812000,1600000,64,1
2011,Sunny,Drama,0,Low,Medium,High,3550000,48000000,124,0
1941,Dumbo,Animation,1,Low,Low,Low,812000,1600000,64,0
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,1
1941,The Maltese Falcon,Mystery,1,Low,Low,Medium,375000,1000000,100,0
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1941,Suspicion,Mystery,1,Low,Low,Medium,1103000,4500000,99,0
1978,Superman,Action,1,High,High,High,55000000,300218018,143,0
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,0
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1941,Citizen Kane,Mystery,1,Low,Medium,Medium,839727,23217674,119,1
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1941,How Green Was My Valley,Drama,1,Low,Low,Medium,1250000,6000000,118,0
1941,The Maltese Falcon,Mystery,1,Low,Low,Medium,375000,1000000,100,0
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,0
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,0
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,1
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,0
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,1
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,1
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,1
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,0
1942,Bambi,Animation,1,Low,High,Low,858000,267447150,70,0
1925,The Gold Rush,Adventure,1,Low,Low,Low,923000,2500000,95,0
1942,For Me and My Gal,Drama,1,Low,Low,Medium,802000,4371000,104,0
1942,Bambi,Animation,1,Low,High,Low,858000,267447150,70,0
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,1
1942,Bambi,Animation,1,Low,High,Low,858000,267447150,70,0
1925,The Gold Rush,Adventure,1,Low,Low,Low,923000,2500000,95,0
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,0
1942,Invisible Agent,Adventure,1,Low,Low,Low,322000,1040000,81,0
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,0
1942,Mrs. Miniver,Drama,1,Low,Medium,High,1344000,13500000,134,1
1942,Casablanca,Drama,1,Low,Medium,Medium,878000,10462500,102,0
2005,Sahara,Action,1,High,High,High,130000000,119269486,124,0
1942,Casablanca,Drama,1,Low,Medium,Medium,878000,10462500,102,0
1943,Five Graves to Cairo,Thriller,1,Low,Low,Medium,855000,1200000,96,0
1942,Casablanca,Drama,1,Low,Medium,Medium,878000,10462500,102,0
1942,Casablanca,Drama,1,Low,Medium,Medium,878000,10462500,102,0
1943,Five Graves to Cairo,Thriller,1,Low,Low,Medium,855000,1200000,96,0
2005,Sahara,Action,1,High,High,High,130000000,119269486,124,0
1942,Casablanca,Drama,1,Low,Medium,Medium,878000,10462500,102,1
1942,Casablanca,Drama,1,Low,Medium,Medium,878000,10462500,102,0
1943,Five Graves to Cairo,Thriller,1,Low,Low,Medium,855000,1200000,96,0
1943,Cabin in the Sky,Fantasy,1,Low,Low,Medium,662141,1606624,98,0
1942,Casablanca,Drama,1,Low,Medium,Medium,878000,10462500,102,1
2005,Sahara,Action,1,High,High,High,130000000,119269486,124,0
1942,Casablanca,Drama,1,Low,Medium,Medium,878000,10462500,102,1
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,0
1944,Laura,Drama,1,Low,Low,Low,1020000,2000000,88,0
1944,Double Indemnity,Drama,1,Low,Low,Medium,927262,2500000,107,0
1944,Laura,Drama,1,Low,Low,Low,1020000,2000000,88,0
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,1
1944,Double Indemnity,Drama,1,Low,Low,Medium,927262,2500000,107,0
1944,Laura,Drama,1,Low,Low,Low,1020000,2000000,88,1
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,1
1944,Double Indemnity,Drama,1,Low,Low,Medium,927262,2500000,107,0
1944,Laura,Drama,1,Low,Low,Low,1020000,2000000,88,0
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,0
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,1
1944,Double Indemnity,Drama,1,Low,Low,Medium,927262,2500000,107,0
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,0
1944,Double Indemnity,Drama,1,Low,Low,Medium,927262,2500000,107,0
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,0
1944,Double Indemnity,Drama,1,Low,Low,Medium,927262,2500000,107,0
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,1
2006,Days of Glory,Drama,0,Medium,Medium,High,14500000,22963701,128,0
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,0
1944,A Guy Named Joe,Drama,1,Low,Low,Medium,2627000,5363000,120,0
1944,Wilson,Romance,1,Low,Low,High,2995000,2000000,154,1
1944,Double Indemnity,Drama,1,Low,Low,Medium,927262,2500000,107,0
1944,Laura,Drama,1,Low,Low,Low,1020000,2000000,88,0
1945,The Lost Weekend,Drama,1,Low,Medium,Medium,1250000,11000000,101,1
1945,Spellbound,Drama,1,Low,Low,Medium,1500000,7000000,111,0
1945,Mildred Pierce,Crime,1,Low,Low,Medium,1453000,5638000,111,1
1945,The Valley of Decision,Drama,1,Low,Medium,Medium,2160000,9132000,119,0
1945,Mildred Pierce,Crime,1,Low,Low,Medium,1453000,5638000,111,0
1945,Mildred Pierce,Crime,1,Low,Low,Medium,1453000,5638000,111,0
1945,The Lost Weekend,Drama,1,Low,Medium,Medium,1250000,11000000,101,0
1945,Mildred Pierce,Crime,1,Low,Low,Medium,1453000,5638000,111,0
1945,Spellbound,Drama,1,Low,Low,Medium,1500000,7000000,111,0
1945,The Lost Weekend,Drama,1,Low,Medium,Medium,1250000,11000000,101,1
1945,Spellbound,Drama,1,Low,Low,Medium,1500000,7000000,111,0
1945,The Lost Weekend,Drama,1,Low,Medium,Medium,1250000,11000000,101,0
1985,Brewster's Millions,Comedy,1,Medium,Medium,Medium,20000000,45833132,97,0
1945,The Lost Weekend,Drama,1,Low,Medium,Medium,1250000,11000000,101,0
1945,Spellbound,Drama,1,Low,Low,Medium,1500000,7000000,111,1
1945,The Valley of Decision,Drama,1,Low,Medium,Medium,2160000,9132000,119,0
1945,The Lost Weekend,Drama,1,Low,Medium,Medium,1250000,11000000,101,1
1945,Mildred Pierce,Crime,1,Low,Low,Medium,1453000,5638000,111,0
1945,Spellbound,Drama,1,Low,Low,Medium,1500000,7000000,111,0
1945,Spellbound,Drama,1,Low,Low,Medium,1500000,7000000,111,0
1973,Dillinger,Action,1,Low,Low,Medium,1000000,2000000,107,0
1945,The Lost Weekend,Drama,1,Low,Medium,Medium,1250000,11000000,101,1
1945,Mildred Pierce,Crime,1,Low,Low,Medium,1453000,5638000,111,0
1946,The Best Years of Our Lives,Drama,1,Low,Medium,High,2100000,23650000,172,1
1946,It's a Wonderful Life,Drama,1,Low,Medium,High,3180000,9644124,130,0
1946,Notorious,Thriller,1,Low,Medium,Medium,2000000,24464742,102,0
1946,The Best Years of Our Lives,Drama,1,Low,Medium,High,2100000,23650000,172,1
1946,Duel in the Sun,Western,1,Medium,Medium,High,6000000,20400000,144,0
1946,Duel in the Sun,Western,1,Medium,Medium,High,6000000,20400000,144,0
1946,The Best Years of Our Lives,Drama,1,Low,Medium,High,2100000,23650000,172,1
1946,It's a Wonderful Life,Drama,1,Low,Medium,High,3180000,9644124,130,0
1946,The Best Years of Our Lives,Drama,1,Low,Medium,High,2100000,23650000,172,1
1946,It's a Wonderful Life,Drama,1,Low,Medium,High,3180000,9644124,130,0
1946,The Best Years of Our Lives,Drama,1,Low,Medium,High,2100000,23650000,172,1
1946,The Best Years of Our Lives,Drama,1,Low,Medium,High,2100000,23650000,172,1
1946,It's a Wonderful Life,Drama,1,Low,Medium,High,3180000,9644124,130,0
1946,The Best Years of Our Lives,Drama,1,Low,Medium,High,2100000,23650000,172,0
1946,It's a Wonderful Life,Drama,1,Low,Medium,High,3180000,9644124,130,0
1946,Notorious,Thriller,1,Low,Medium,Medium,2000000,24464742,102,0
1946,The Best Years of Our Lives,Drama,1,Low,Medium,High,2100000,23650000,172,1
1947,Gentleman's Agreement,Drama,1,Low,Medium,Medium,2000000,7800000,118,0
1947,Gentleman's Agreement,Drama,1,Low,Medium,Medium,2000000,7800000,118,0
1947,Gentleman's Agreement,Drama,1,Low,Medium,Medium,2000000,7800000,118,1
1947,Gentleman's Agreement,Drama,1,Low,Medium,Medium,2000000,7800000,118,0
1998,Great Expectations,Comedy,1,Medium,Medium,Medium,25000000,55494066,111,1
1998,Great Expectations,Comedy,1,Medium,Medium,Medium,25000000,55494066,111,1
1947,Gentleman's Agreement,Drama,1,Low,Medium,Medium,2000000,7800000,118,1
1998,Great Expectations,Comedy,1,Medium,Medium,Medium,25000000,55494066,111,0
1947,Gentleman's Agreement,Drama,1,Low,Medium,Medium,2000000,7800000,118,0
1947,Gentleman's Agreement,Drama,1,Low,Medium,Medium,2000000,7800000,118,1
1998,Great Expectations,Comedy,1,Medium,Medium,Medium,25000000,55494066,111,0
1947,Gentleman's Agreement,Drama,1,Low,Medium,Medium,2000000,7800000,118,0
1998,Great Expectations,Comedy,1,Medium,Medium,Medium,25000000,55494066,111,0
2000,Hamlet,Drama,1,Low,Low,Medium,2000000,1568749,112,1
1948,The Treasure of the Sierra Madre,Action,1,Low,Low,High,3800000,4307000,126,1
2000,Hamlet,Drama,1,Low,Low,Medium,2000000,1568749,112,0
2000,Hamlet,Drama,1,Low,Low,Medium,2000000,1568749,112,1
2011,The Three Musketeers,Adventure,1,High,High,Medium,75000000,132274484,110,0
1993,The Three Musketeers,Action,1,Medium,Medium,Medium,30000000,53898845,105,0
2000,Hamlet,Drama,1,Low,Low,Medium,2000000,1568749,112,1
2000,Hamlet,Drama,1,Low,Low,Medium,2000000,1568749,112,0
1948,The Treasure of the Sierra Madre,Action,1,Low,Low,High,3800000,4307000,126,1
1948,Red River,Western,1,Low,Medium,High,3000000,9012000,133,0
2000,Hamlet,Drama,1,Low,Low,Medium,2000000,1568749,112,0
1948,The Pirate,Music,1,Low,Low,Medium,3700000,2956000,102,0
2000,Hamlet,Drama,1,Low,Low,Medium,2000000,1568749,112,1
1948,The Treasure of the Sierra Madre,Action,1,Low,Low,High,3800000,4307000,126,0
1948,Red River,Western,1,Low,Medium,High,3000000,9012000,133,0
1948,The Treasure of the Sierra Madre,Action,1,Low,Low,High,3800000,4307000,126,1
