budget,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,winner,genres
0,Guardian Angel,0.595949,11/22/1994,0,93,Released,Guardian Angel,6.3,3,#N/A,Action
15000000,Mighty Aphrodite,15.899134,9/13/1995,6700000,95,Released,Mighty Aphrodite,6.7,145,TRUE,Comedy
0,Lamerica,1.361286,1/1/1994,0,116,Released,Lamerica,7.7,11,#N/A,Drama
0,The Big Green,5.982764,9/29/1995,0,100,Released,The Big Green,5.2,41,#N/A,Action
0,Georgia,4.093443,5/19/1995,0,115,Released,Georgia,6.1,15,FALSE,Drama
0,Kids of the Round Table,0.307075,7/8/1997,0,89,Released,Kids of the Round Table,3,1,#N/A,
0,Home for the Holidays,8.416802,11/2/1995,17519169,103,Released,Home for the Holidays,6.3,39,#N/A,Comedy
0,Il postino,10.168437,9/22/1994,0,108,Released,The Postman,7.6,181,#N/A,Comedy
0,Le confessionnal,0.120789,9/29/1995,0,100,Released,The Confessional,6.5,2,#N/A,Thriller
45000000,The Indian in the Cupboard,10.673296,7/14/1995,0,96,Released,The Indian in the Cupboard,5.9,136,#N/A,Adventure
20000000,Eye for an Eye,4.733526,1/12/1996,0,101,Released,Eye for an Eye,5.8,65,#N/A,Drama
0,Mr. Holland's Opus,7.137117,12/29/1995,106269971,137,Released,Mr. Holland's Opus,6.9,115,FALSE,Music
0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,1/12/1996,0,89,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192,#N/A,Comedy
0,Two If by Sea,2.174487,1/12/1996,0,96,Released,Two If by Sea,4.5,14,#N/A,Comedy
15000000,Bio-Dome,6.387469,1/12/1996,0,88,Released,Bio-Dome,4.4,110,#N/A,Comedy
0,Lawnmower Man 2: Beyond Cyberspace,2.49535,1/12/1996,2409225,92,Released,Lawnmower Man 2: Beyond Cyberspace,2.8,32,#N/A,Action
0,Two Bits,4.046208,10/22/1995,0,85,Released,Two Bits,5.4,11,#N/A,Drama
0,Gazon maudit,2.518051,2/8/1995,0,95,Released,French Twist,6,43,#N/A,Comedy
3500000,Friday,14.56965,4/26/1995,28215918,91,Released,Friday,7,513,#N/A,Comedy
19000000,From Dusk Till Dawn,15.339153,1/19/1996,25836616,108,Released,From Dusk Till Dawn,6.9,1644,#N/A,Horror
50000000,Fair Game,5.912223,11/3/1995,11534477,91,Released,Fair Game,4.1,54,#N/A,Action
0,Kicking and Screaming,3.367276,10/6/1995,718490,96,Released,Kicking and Screaming,7,36,#N/A,Comedy
0,Les misérables,1.479446,3/22/1995,0,175,Released,Les Miserables,6.6,8,FALSE,Drama
0,Bed of Roses,10.412194,1/26/1996,19030691,87,Released,Bed of Roses,5.1,27,#N/A,Drama
15000000,Big Bully,2.936443,1/26/1996,2042530,90,Released,Big Bully,3.9,16,#N/A,Comedy
20000000,Screamers,12.758848,9/8/1995,5781885,108,Released,Screamers,6.1,154,#N/A,Horror
0,Nico Icon,0.133893,2/18/1995,0,70,Released,Nico Icon,7.3,3,#N/A,Documentary
0,The Crossing Guard,5.756462,11/15/1995,0,111,Released,The Crossing Guard,6.1,74,#N/A,Drama
44000000,The Juror,6.010579,2/2/1996,0,118,Released,The Juror,5.5,91,#N/A,Drama
0,بادکنک سفید,1.196256,1/1/1995,0,85,Released,The White Balloon,7.5,20,#N/A,Family
8000000,Things to Do in Denver When You're Dead,4.486179,12/1/1995,529766,116,Released,Things to Do in Denver When You're Dead,6.7,87,#N/A,Drama
900000,Antonia,2.030174,9/12/1995,0,102,Released,Antonia's Line,7.2,26,#N/A,Drama
0,Once Upon a Time... When We Were Colored,0.252287,1/26/1996,0,115,Released,Once Upon a Time... When We Were Colored,4.5,2,#N/A,Romance
0,Last Summer in the Hamptons,0.531159,11/22/1995,0,108,Released,Last Summer in the Hamptons,0,0,#N/A,
0,Angels and Insects,2.15166,9/10/1995,0,118,Released,Angels and Insects,6.3,17,FALSE,Drama
38000000,White Squall,9.568604,2/2/1996,10300000,129,Released,White Squall,6.3,86,#N/A,Action
16000000,Dunston Checks In,4.814825,1/12/1996,0,88,Released,Dunston Checks In,5.1,59,#N/A,Adventure
0,Black Sheep,8.963037,2/1/1996,32,87,Released,Black Sheep,6,124,FALSE,Comedy
8169363,Nick of Time,6.848591,11/22/1995,8175346,90,Released,Nick of Time,6.1,190,#N/A,Crime
0,The Journey of August King,0.411424,9/14/1995,0,91,Released,The Journey of August King,6.7,3,#N/A,Drama
47000000,Mary Reilly,12.866139,2/23/1996,12379402,104,Released,Mary Reilly,5.7,77,#N/A,Drama
14000000,Vampire in Brooklyn,9.071127,10/26/1995,19800000,100,Released,Vampire in Brooklyn,4.5,113,#N/A,Comedy
0,Beautiful Girls,4.670562,2/9/1996,0,112,Released,Beautiful Girls,6.6,103,#N/A,Comedy
50000000,Broken Arrow,14.957626,2/9/1996,150270147,108,Released,Broken Arrow,5.7,459,FALSE,Action
0,A Midwinter's Tale,0.513391,12/1/1995,0,99,Released,A Midwinter's Tale,7.5,6,#N/A,Comedy
3000000,La Haine,12.108196,5/31/1995,0,98,Released,La Haine,7.9,695,#N/A,Drama
0,Shopping,2.657647,12/6/1994,0,105,Released,Shopping,5.6,13,#N/A,Action
0,Heidi Fleiss: Hollywood Madam,0.638211,12/27/1995,0,106,Released,Heidi Fleiss: Hollywood Madam,6.8,4,#N/A,Documentary
0,City Hall,4.807223,2/16/1996,0,111,Released,City Hall,6,67,#N/A,Drama
7000000,Bottle Rocket,6.904831,2/21/1996,560069,91,Released,Bottle Rocket,6.8,285,#N/A,Comedy
0,Mr. Wrong,3.329264,2/16/1996,0,96,Released,Mr. Wrong,3.3,16,#N/A,Comedy
18000000,Unforgettable,2.464425,2/23/1996,0,106,Released,Unforgettable,5.3,22,#N/A,Drama
12000000,Happy Gilmore,9.592265,2/16/1996,41205099,92,Released,Happy Gilmore,6.5,767,#N/A,Comedy
24000000,The Bridges of Madison County,5.951077,5/28/1995,182016617,135,Released,The Bridges of Madison County,7.3,397,FALSE,Drama
0,Keiner liebt mich,1.015068,11/7/1994,0,104,Released,Nobody Loves Me,5.1,5,#N/A,Drama
0,Muppet Treasure Island,6.902423,2/16/1996,34327391,100,Released,Muppet Treasure Island,6.5,93,#N/A,Action
0,Catwalk,0.976707,12/8/1995,0,95,Released,Catwalk,7,2,#N/A,Documentary
0,Headless Body in Topless Bar,0.001346,5/20/1995,0,110,Released,Headless Body in Topless Bar,0,0,#N/A,Crime
72000000,Braveheart,20.755149,5/24/1995,210000000,177,Released,Braveheart,7.7,3404,TRUE,Action
1300000,Taxi Driver,14.092713,2/7/1976,28262574,114,Released,Taxi Driver,8.1,2632,FALSE,Crime
7500000,紅番區,12.314278,1/30/1995,32392047,91,Released,Rumble in the Bronx,6.5,245,#N/A,Crime
35000000,Before and After,2.938293,2/23/1996,0,108,Released,Before and After,5.8,37,#N/A,Drama
0,Margaret's Museum,0.372697,9/13/1995,0,114,Released,Margaret's Museum,7.5,2,#N/A,Drama
13365000,Le Bonheur est dans le pré,1.254885,1/31/1995,0,106,Released,Happiness Is in the Field,7,23,#N/A,Comedy
0,Anne Frank Remembered,0.243986,6/8/1995,1,117,Released,Anne Frank Remembered,7.3,4,TRUE,Documentary
0,The Young Poisoner's Handbook,6.178497,1/20/1995,0,99,Released,The Young Poisoner's Handbook,6.9,19,#N/A,Comedy
0,If Lucy Fell,2.891918,3/8/1996,0,92,Released,If Lucy Fell,5.4,11,#N/A,Comedy
25000000,Steal Big Steal Little,1.522412,9/29/1995,6278139,113,Released,Steal Big Steal Little,5.1,7,#N/A,Comedy
0,Race the Sun,1.317878,3/22/1996,0,100,Released,Race the Sun,5.2,21,#N/A,Action
0,The Boys of St. Vincent,0.86539,12/6/1992,0,90,Released,The Boys of St. Vincent,7,7,#N/A,Drama
40000000,Boomerang,6.506983,6/30/1992,70100000,117,Released,Boomerang,5.4,139,#N/A,Comedy
0,重慶森林,6.778979,7/14/1994,0,102,Released,Chungking Express,7.9,249,#N/A,Drama
0,L'uomo delle stelle,1.702639,9/21/1995,0,113,Released,The Star Maker,6.8,29,#N/A,Drama
7000000,Flirting with Disaster,5.579088,3/22/1996,14702438,92,Released,Flirting with Disaster,6.3,66,#N/A,Comedy
17000000,The NeverEnding Story III,6.252377,10/26/1994,0,95,Released,The Neverending Story III: Escape from Fantasia,4.4,105,#N/A,Fantasy
0,صمت القصور,0.406754,9/30/1994,0,116,Released,The Silences of the Palace,4.3,3,#N/A,Drama
0,Jupiter's Wife,0.001178,1/1/1995,0,87,Released,Jupiter's Wife,0,0,#N/A,
0,Pie in the Sky,0.699066,2/9/1996,0,95,Released,Pie in the Sky,7,2,#N/A,Comedy
0,Angela,2.197439,1/1/1995,0,99,Released,Angela,5.6,9,#N/A,Comedy
0,Frankie Starlight,0.637554,11/22/1995,0,101,Released,Frankie Starlight,5.4,4,#N/A,Drama
50000000,Jade,11.418917,10/13/1995,9851610,95,Released,Jade,5.1,45,#N/A,Action
0,Nueba Yol,0.291021,8/16/1995,0,102,Released,Nueba Yol,5.5,1,#N/A,Comedy
0,Sonic Outlaws,0.001838,8/1/1995,0,87,Released,Sonic Outlaws,0,0,#N/A,Music
0,Down Periscope,5.184977,3/1/1996,0,92,Released,Down Periscope,5.6,110,#N/A,Comedy
0,From the Journals of Jean Seberg,0.276401,9/8/1995,0,97,Released,From the Journals of Jean Seberg,6.5,2,#N/A,Documentary
0,Man of the Year,0.540436,9/15/1995,209935,86,Released,Man of the Year,3.8,2,#N/A,Comedy
0,The Neon Bible,0.370342,8/23/1995,0,91,Released,The Neon Bible,7.2,5,#N/A,Drama
0,Target,0.001205,8/1/1995,0,122,Released,Target,0,0,#N/A,
60000000,Up Close & Personal,3.402749,3/1/1996,0,119,Released,Up Close & Personal,5.9,51,#N/A,Drama
31000000,The Birdcage,6.49968,3/8/1996,185260553,117,Released,The Birdcage,6.7,303,FALSE,Comedy
0,Gospa,0.918504,10/12/1995,0,125,Released,Virgin Mary,7,2,#N/A,Drama
0,The Brothers McMullen,2.039196,8/9/1995,0,98,Released,The Brothers McMullen,6.3,23,#N/A,Comedy
19000000,Bad Boys,9.262184,4/7/1995,141407024,118,Released,Bad Boys,6.5,1729,#N/A,Action
0,The Amazing Panda Adventure,2.375865,8/25/1995,0,81,Released,The Amazing Panda Adventure,5,31,#N/A,Action
0,The Basketball Diaries,7.415144,4/21/1995,0,102,Released,The Basketball Diaries,7.2,472,#N/A,Drama
4000000,An Awfully Big Adventure,0.922958,7/21/1995,851545,113,Released,An Awfully Big Adventure,6,11,#N/A,Romance
0,Amateur,1.759012,8/5/1994,0,105,Released,Amateur,6.5,21,#N/A,Crime
52000000,Apollo 13,18.761467,6/30/1995,355237933,140,Released,Apollo 13,7.3,1637,FALSE,Drama
28000000,Rob Roy,10.193549,4/13/1995,31596911,139,Released,Rob Roy,6.5,151,FALSE,Adventure
0,The Addiction,3.137285,1/10/1995,0,82,Released,The Addiction,6.4,46,#N/A,Drama
100000000,Batman Forever,13.321354,6/16/1995,336529144,121,Released,Batman Forever,5.2,1529,FALSE,Action
0,Belle de jour,10.142662,5/24/1967,0,101,Released,Belle de Jour,7.3,163,#N/A,Drama
0,Beyond Rangoon,2.04189,5/24/1995,0,100,Released,Beyond Rangoon,6.4,21,#N/A,Drama
2000000,Blue in the Face,11.528147,9/15/1995,1275000,83,Released,Blue in the Face,6.8,28,#N/A,Comedy
11000000,Canadian Bacon,5.391556,6/8/1995,178104,91,Released,Canadian Bacon,5.9,57,#N/A,Action
50000000,Casper,12.812539,5/26/1995,287928194,100,Released,Casper,6,1045,#N/A,Fantasy
25000000,Clockers,4.558992,9/15/1995,13071518,128,Released,Clockers,6.8,69,#N/A,Mystery
50000000,Congo,7.260574,6/9/1995,152022101,109,Released,Congo,5,214,#N/A,Action
53000000,Crimson Tide,8.657365,5/12/1995,157387195,116,Released,Crimson Tide,7,508,FALSE,Action
0,Crumb,3.620388,9/10/1994,3174695,119,Released,Crumb,7.6,71,#N/A,Documentary
7000000,Desperado,6.950458,8/25/1995,25405445,104,Released,Desperado,6.8,898,#N/A,Thriller
27000000,Devil in a Blue Dress,4.646132,9/15/1995,16140822,102,Released,Devil in a Blue Dress,6.3,88,#N/A,Drama
90000000,Die Hard: With a Vengeance,15.138855,5/19/1995,366101666,128,Released,Die Hard: With a Vengeance,6.9,2094,#N/A,Action
0,The Doom Generation,7.120806,10/27/1995,0,80,Released,The Doom Generation,5.6,57,#N/A,Action
0,Feast of July,0.523575,10/12/1995,0,116,Released,Feast of July,0,0,#N/A,Drama
55000000,First Knight,15.178338,7/7/1995,127600435,134,Released,First Knight,5.9,319,#N/A,Action
0,Free Willy 2 - The Adventure Home,7.575098,7/19/1995,0,95,Released,Free Willy 2 - The Adventure Home,5.5,130,#N/A,Adventure
20000000,Hackers,14.810519,9/14/1995,7563728,107,Released,Hackers,6.2,406,#N/A,Action
0,Jeffrey,3.196456,8/18/1995,0,92,Released,Jeffrey,6.5,19,#N/A,Comedy
25000000,Johnny Mnemonic,11.715868,5/26/1995,19075720,97,Released,Johnny Mnemonic,5.5,380,#N/A,Adventure
90000000,Judge Dredd,8.184815,6/30/1995,113493481,96,Released,Judge Dredd,5.4,643,#N/A,Science Fiction
0,Jury Duty,3.676921,4/12/1995,17014653,88,Released,Jury Duty,4,34,#N/A,Comedy
1500000,Kids,4.877872,7/28/1995,7412216,91,Released,Kids,6.8,280,#N/A,Drama
500000,Living in Oblivion,10.058329,1/20/1995,1148752,89,Released,Living in Oblivion,7.2,64,#N/A,Drama
0,Lord of Illusions,4.102409,8/25/1995,0,119,Released,Lord of Illusions,5.9,87,#N/A,Mystery
0,Love & Human Remains,0.354014,5/20/1993,0,100,Released,Love & Human Remains,7,7,#N/A,Comedy
0,Mad Love,2.624771,5/26/1995,15453274,95,Released,Mad Love,5.5,27,#N/A,Drama
6000000,Mallrats,8.25547,10/20/1995,2122561,94,Released,Mallrats,6.8,400,#N/A,Romance
15000000,Mighty Morphin Power Rangers: The Movie,7.024227,6/30/1995,66000000,92,Released,Mighty Morphin Power Rangers: The Movie,5.2,153,#N/A,Action
0,Moonlight and Valentino,1.01115,9/29/1995,0,100,Released,Moonlight and Valentino,5.6,10,#N/A,Comedy
2,Mute Witness,2.466066,9/28/1995,1,95,Released,Mute Witness,6.4,36,#N/A,Thriller
0,Nadja,7.720056,9/13/1994,0,93,Released,Nadja,5.9,12,#N/A,Horror
22000000,The Net,13.304342,7/28/1995,110627965,114,Released,The Net,5.6,359,#N/A,Crime
0,Nine Months,8.482834,7/12/1995,69660733,103,Released,Nine Months,5.5,171,#N/A,Comedy
150000,Party Girl,1.165039,6/9/1995,472370,94,Released,Party Girl,5.8,14,#N/A,Comedy
8,The Prophecy,10.187623,9/1/1995,16,98,Released,The Prophecy,6.4,139,#N/A,Fantasy
0,Reckless,0.119713,11/17/1995,0,91,Released,Reckless,10,1,#N/A,Fantasy
0,Safe,8.180047,6/23/1995,0,119,Released,Safe,7.2,62,#N/A,Drama
50000000,The Scarlet Letter,6.752119,10/13/1995,10382407,135,Released,The Scarlet Letter,5.5,111,#N/A,Drama
0,The Show,0.159596,8/25/1995,0,93,,The Show,5.3,2,#N/A,Documentary
45000000,Showgirls,17.502375,9/22/1995,20350754,128,Released,Showgirls,4.9,261,#N/A,Drama
7000000,Smoke,5.552946,6/9/1995,8349430,112,Released,Smoke,7.2,115,#N/A,Comedy
0,Something to Talk About,3.743212,8/4/1995,50892160,106,Released,Something to Talk About,5.7,60,#N/A,Comedy
35000000,Species,13.492845,7/7/1995,113374103,108,Released,Species,5.5,457,#N/A,Science Fiction
0,The Stars Fell on Henrietta,0.913522,9/15/1995,0,109,Released,The Stars Fell on Henrietta,6.6,6,#N/A,Drama
42000000,Strange Days,11.223055,10/13/1995,7959291,145,Released,Strange Days,6.8,334,#N/A,Crime
0,Les parapluies de Cherbourg,8.133881,2/19/1964,0,91,Released,The Umbrellas of Cherbourg,7.6,119,#N/A,Drama
14000000,The Tie That Binds,1.820419,9/8/1995,5780000,99,Released,The Tie That Binds,4.6,9,#N/A,Thriller
0,Three Wishes,11.002046,10/27/1995,7025496,115,Released,Three Wishes,6.1,18,#N/A,Drama
0,Total Eclipse,4.546552,11/2/1995,339889,111,Released,Total Eclipse,6.5,112,#N/A,Drama
0,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,9/7/1995,47774193,105,Released,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117,#N/A,Comedy
60000000,Under Siege 2: Dark Territory,7.490247,7/13/1995,104324083,100,Released,Under Siege 2: Dark Territory,5.6,217,#N/A,Action
0,Unstrung Heroes,2.881689,9/15/1995,0,93,Released,Unstrung Heroes,6.4,9,FALSE,Comedy
0,Unzipped,0.786023,8/11/1995,0,73,Released,Unzipped,6,6,#N/A,Documentary
20000000,A Walk in the Clouds,9.715639,8/11/1995,50012507,103,Released,A Walk in the Clouds,6.5,168,#N/A,Drama
175000000,Waterworld,16.885184,7/28/1995,264218220,135,Released,Waterworld,5.9,1017,FALSE,Adventure
8000000,White Man's Burden,1.834099,12/1/1995,0,89,Released,White Man's Burden,5.1,25,#N/A,Drama
30000000,Wild Bill,8.922139,12/1/1995,0,98,Released,Wild Bill,5.9,27,#N/A,Action
0,The Browning Version,3.727644,10/12/1994,0,97,Released,The Browning Version,6,11,#N/A,Drama
0,Bushwhacked,3.287036,8/4/1995,0,90,Released,Bushwhacked,4.9,29,#N/A,Adventure
2800000,Утомлённые солнцем,2.486073,5/1/1994,2616503,135,Released,Burnt by the Sun,6.7,35,#N/A,Drama
0,Before the Rain,3.525649,6/9/1994,763847,113,Released,Before the Rain,7.7,45,FALSE,Drama
2500000,Before Sunrise,11.304979,1/27/1995,5535405,105,Released,Before Sunrise,7.7,984,#N/A,Drama
10000000,Billy Madison,6.638116,2/10/1995,26488734,89,Released,Billy Madison,6.2,464,#N/A,Comedy
0,The Babysitter,2.761837,10/17/1995,0,90,Released,The Babysitter,4.7,27,#N/A,Drama
21000000,Boys on the Side,3.030309,2/3/1995,23450000,115,Released,Boys on the Side,6.3,48,#N/A,Comedy
0,The Cure,2.686342,4/21/1995,0,97,Released,The Cure,7.2,58,#N/A,Drama
0,Castle Freak,2.26977,8/4/1995,0,95,Released,Castle Freak,5.8,40,#N/A,Thriller
0,Circle of Friends,2.605521,3/16/1995,0,103,Released,Circle of Friends,6.5,30,#N/A,Drama
27000,Clerks,10.513367,9/13/1994,3151130,92,Released,Clerks,7.4,769,#N/A,Comedy
25000000,Don Juan DeMarco,7.438934,10/1/1994,22200000,97,Released,Don Juan DeMarco,6.3,184,FALSE,Romance
55000000,Disclosure,11.812244,12/9/1994,214015089,123,Released,Disclosure,5.9,217,#N/A,Drama
0,Dream Man,0.155859,1/1/1995,0,0,Released,Dream Man,2.5,1,#N/A,Thriller
45000000,Drop Zone,9.579155,12/8/1994,0,101,Released,Drop Zone,5.1,91,#N/A,Action
0,Destiny Turns on the Radio,0.710671,4/28/1995,0,0,Released,Destiny Turns on the Radio,5.3,9,#N/A,Crime
0,Death and the Maiden,5.484156,5/4/1994,0,103,Released,Death and the Maiden,7.1,92,#N/A,Drama
0,Dolores Claiborne,5.8025,3/24/1995,0,132,Released,Dolores Claiborne,7.1,183,#N/A,Crime
16000000,Dumb and Dumber,9.844558,12/16/1994,247275374,107,Released,Dumb and Dumber,6.5,1894,#N/A,Comedy
0,飲食男女,4.860016,8/3/1994,7294403,123,Released,Eat Drink Man Woman,7.5,76,#N/A,Comedy
0,Exotica,5.378467,9/24/1994,0,103,Released,Exotica,6.5,64,#N/A,Drama
0,Exit to Eden,4.322726,10/14/1994,6841570,113,Released,Exit to Eden,4.3,28,#N/A,Thriller
18000000,Ed Wood,11.720358,9/27/1994,5887457,127,Released,Ed Wood,7.3,639,TRUE,Comedy
0,French Kiss,9.146544,5/5/1995,0,111,Released,French Kiss,6.2,179,#N/A,Comedy
0,Forget Paris,16.236745,5/19/1995,0,101,Released,Forget Paris,6.1,38,#N/A,Comedy
0,Far from Home: The Adventures of Yellow Dog,2.657337,1/13/1995,0,87,Released,Far from Home: The Adventures of Yellow Dog,5.6,27,#N/A,Action
0,A Goofy Movie,10.177977,4/7/1995,35348597,78,Released,A Goofy Movie,6.7,404,#N/A,Romance
15000000,Hideaway,8.182165,3/3/1995,12201255,103,Released,Hideaway,5,24,#N/A,Drama
0,Fluke,4.953936,6/2/1995,0,96,Released,Fluke,6.6,48,#N/A,Drama
0,Farinelli,8.935058,12/7/1994,0,111,Released,Farinelli,5.9,20,#N/A,History
0,Gordy,0.398924,5/12/1995,3992809,90,Released,Gordy,3,4,#N/A,Drama
0,Gumby: The Movie,0.090452,12/1/1995,0,77,Released,Gumby: The Movie,5,2,#N/A,Fantasy
0,The Glass Shield,1.012197,9/16/1994,0,109,Released,The Glass Shield,5.4,9,#N/A,Drama
700000,Hoop Dreams,9.47666,9/12/1994,7830611,171,Released,Hoop Dreams,7.7,91,FALSE,Documentary
5000000,Heavenly Creatures,9.438042,9/2/1994,3049135,99,Released,Heavenly Creatures,6.9,299,FALSE,Drama
10500000,Houseguest,2.688562,1/6/1995,26325256,113,Released,Houseguest,6,17,#N/A,Comedy
120,Immortal Beloved,7.983666,12/16/1994,0,121,Released,Immortal Beloved,6.9,90,#N/A,Drama
0,Heavyweights,9.546707,2/17/1995,17689177,100,Released,Heavyweights,6,97,#N/A,Comedy
0,The Hunted,2.756986,2/24/1995,0,106,Released,The Hunted,6,25,#N/A,Action
25000000,I.Q.,5.146352,12/24/1994,0,100,Released,I.Q.,5.9,112,#N/A,Comedy
60000000,Interview with the Vampire,11.970205,11/11/1994,223664608,123,Released,Interview with the Vampire,7.2,1558,FALSE,Horror
14000000,Jefferson in Paris,1.596058,3/31/1995,2474000,139,Released,Jefferson in Paris,5.2,10,#N/A,Drama
0,The Jerky Boys,0.748846,2/3/1995,0,82,Released,The Jerky Boys,4.8,10,#N/A,Comedy
60000000,Junior,6.710215,11/22/1994,37000000,109,Released,Junior,4.7,381,FALSE,Comedy
0,Just Cause,9.195256,2/17/1995,0,102,Released,Just Cause,6,124,#N/A,Action
0,A Kid in King Arthur's Court,5.874511,8/11/1995,0,89,Released,A Kid in King Arthur's Court,4.3,40,#N/A,Adventure
